date;temperature
20031001;12.3
20031002;14.2
20031003;14.6
20031004;10.1
20031005;8.1
20031006;9.2
20031007;8.8
20031008;11.2
20031009;12.3
20031010;13.1
20031011;10.3
20031012;8.4
20031013;9.1
20031014;8.3
20031015;7.3
20031016;7.2
20031017;6.5
20031018;5.3
20031019;5.6
20031020;6.4
20031021;5.8
20031022;5.4
20031023;1.8
20031024;0.2
20031025;4.9
20031026;5.1
20031027;0.5
20031028;0.1
20031029;4
20031030;7.3
20031031;8.4
